State,2018,2019,2020,2021,2022,Total_5yr
Andhra Pradesh,24475,21992,19509,21556,21249,108781
Arunachal Pradesh,277,237,134,283,227,1158
Assam,8248,8350,6595,7411,7023,37627
Bihar,9600,10007,8639,9553,10801,48600
Chhattisgarh,13864,13899,11656,12375,13279,65073
Goa,3709,3440,2375,2849,3011,15384
Gujarat,18769,17046,13398,15186,15751,80150
Haryana,11238,10944,9431,9933,10429,51975
Himachal Pradesh,3110,2873,2239,2404,2597,13223
Jharkhand,5394,5217,4405,4728,5175,24919
Karnataka,41707,40658,34178,34647,39762,190952
Kerala,40181,41111,27877,33296,43910,186375
Madhya Pradesh,51397,50669,45266,48877,54432,250641
Maharashtra,35717,32925,24971,29477,33383,156473
Manipur,601,672,432,366,508,2579
Meghalaya,399,482,214,245,246,1586
Mizoram,53,62,53,69,133,370
Nagaland,430,358,500,746,489,2523
Odisha,11262,11064,9817,10983,11663,54789
Punjab,6428,6348,5203,5871,6138,29988
Rajasthan,21743,23480,19114,20951,23614,108902
Sikkim,180,162,138,155,211,846
Tamil Nadu,67279,62685,49844,55682,64105,299595
Telangana,22230,21570,19172,21315,21619,105906
Tripura,552,655,466,479,575,2727
Uttarakhand,1468,1352,1041,1405,1674,6940
Uttar Pradesh,42568,42572,34243,37729,41746,198858
West Bengal,12705,12658,10863,11937,13686,61849
